tag,model,mode,freq,size_mb,storage,network,num_iterations,wall_time_cycles,gpu_time_cycles,comm_time_cycles,overlap_cycles,baseline_wall_time_cycles,overhead_pct,astra_returncode,sim_seconds,trace_key,workload
main,bert,sync,100,2000,nvme_std,network_8_balanced,200,20215508800,1747781600,18467727200,0,18467880800,9.46307,0,11.79,bert_sync_n100_sz2000MB_nvme_std_200iter_f4914cc74a,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,100,5000,nvme_std,network_8_balanced,200,19341694802,873967602,18467727200,0,18467880800,4.73153,0,13.04,bert_checkfreq_like_n100_sz5000MB_nvme_std_200iter_67d84163a9,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,100,5000,nvme_std,network_8_balanced,200,22836948800,4369221600,18467727200,0,18467880800,23.65766,0,12.72,bert_sync_n100_sz5000MB_nvme_std_200iter_5fe6ca78a4,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,gpt_small,baseline,25,2000,nvme_std,network_8_balanced,200,11260615200,76800,11260538400,0,11260615200,0.0,0,6.72,gpt_small_base_200iter_6bb6f151f9,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,checkfreq_like,10,500,nvme_std,network_8_balanced,200,12134435220,873896820,11260538400,0,11260615200,7.75997,0,6.11,gpt_small_checkfreq_like_n10_sz500MB_nvme_std_200iter_0d552fad55,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,sync,10,500,nvme_std,network_8_balanced,200,15629695200,4369156800,11260538400,0,11260615200,38.79966,0,6.02,gpt_small_sync_n10_sz500MB_nvme_std_200iter_192035d717,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,checkfreq_like,10,2000,nvme_std,network_8_balanced,200,14755875220,3495336820,11260538400,0,11260615200,31.03969,0,5.87,gpt_small_checkfreq_like_n10_sz2000MB_nvme_std_200iter_e7c97c37ed,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,sync,10,2000,nvme_std,network_8_balanced,200,28736895200,17476356800,11260538400,0,11260615200,155.19827,0,5.53,gpt_small_sync_n10_sz2000MB_nvme_std_200iter_539bb532c1,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,checkfreq_like,10,5000,nvme_std,network_8_balanced,200,19998755220,8738216820,11260538400,0,11260615200,77.59914,0,6.34,gpt_small_checkfreq_like_n10_sz5000MB_nvme_std_200iter_f1c3796ee0,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
main,gpt_small,sync,10,5000,nvme_std,network_8_balanced,200,54951295200,43690756800,11260538400,0,11260615200,387.9955,0,6.19,gpt_small_sync_n10_sz5000MB_nvme_std_200iter_7660476adc,transformer_8dp_1pp_1tp_64B_1024S_50257V_1024d_2b_100scale_200iter
