model,freq,size_mb,storage,network,overhead_checkfreq_pct,overhead_sync_pct,sync_minus_cf_pp,cf_lt_sync
bert,80,5000,nvme_std,network_8_balanced,7.0973,35.48649,28.389190000000003,True
bert,90,500,nvme_std,network_8_balanced,0.70973,3.54866,2.83893,True
bert,90,1000,nvme_std,network_8_balanced,1.41945,7.09728,5.677829999999999,True
bert,90,1500,nvme_std,network_8_balanced,2.12919,10.64594,8.51675,True
bert,90,2000,nvme_std,network_8_balanced,2.83892,14.1946,11.35568,True
bert,90,2500,nvme_std,network_8_balanced,3.54864,17.74323,14.194590000000002,True
bert,90,3000,nvme_std,network_8_balanced,4.25838,21.29189,17.03351,True
bert,90,3500,nvme_std,network_8_balanced,4.96811,24.84054,19.87243,True
bert,90,4000,nvme_std,network_8_balanced,5.67783,28.38917,22.71134,True
bert,90,4500,nvme_std,network_8_balanced,6.38757,31.93783,25.55026,True
bert,90,5000,nvme_std,network_8_balanced,7.0973,35.48649,28.389190000000003,True
bert,100,500,nvme_std,network_8_balanced,0.47316,2.36577,1.89261,True
bert,100,1000,nvme_std,network_8_balanced,0.9463,4.73152,3.78522,True
bert,100,1500,nvme_std,network_8_balanced,1.41946,7.0973,5.67784,True
bert,100,2000,nvme_std,network_8_balanced,1.89262,9.46307,7.57045,True
bert,100,2500,nvme_std,network_8_balanced,2.36576,11.82882,9.46306,True
bert,100,3000,nvme_std,network_8_balanced,2.83892,14.19459,11.35567,True
bert,100,3500,nvme_std,network_8_balanced,3.31207,16.56036,13.248289999999999,True
bert,100,4000,nvme_std,network_8_balanced,3.78522,18.92611,15.140890000000002,True
bert,100,4500,nvme_std,network_8_balanced,4.25838,21.29189,17.03351,True
bert,100,5000,nvme_std,network_8_balanced,4.73153,23.65766,18.92613,True
