tag,model,mode,freq,size_mb,storage,network,num_iterations,wall_time_cycles,gpu_time_cycles,comm_time_cycles,overlap_cycles,baseline_wall_time_cycles,overhead_pct,astra_returncode,sim_seconds,trace_key,workload
main,bert,sync,20,500,nvme_std,network_8_balanced,200,20652420800,2184693600,18467727200,0,18467880800,11.82886,0,15.36,bert_sync_n20_sz500MB_nvme_std_200iter_66858aa3b5,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,20,1000,nvme_std,network_8_balanced,200,19341690810,873963610,18467727200,0,18467880800,4.73151,0,14.87,bert_checkfreq_like_n20_sz1000MB_nvme_std_200iter_199a1b9606,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,20,1000,nvme_std,network_8_balanced,200,22836940800,4369213600,18467727200,0,18467880800,23.65761,0,13.53,bert_sync_n20_sz1000MB_nvme_std_200iter_32d610bc9e,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,20,1500,nvme_std,network_8_balanced,200,19778600810,1310873610,18467727200,0,18467880800,7.0973,0,16.29,bert_checkfreq_like_n20_sz1500MB_nvme_std_200iter_3ff8bd776a,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,20,1500,nvme_std,network_8_balanced,200,25021480800,6553753600,18467727200,0,18467880800,35.48648,0,15.03,bert_sync_n20_sz1500MB_nvme_std_200iter_40fe6fa8c0,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,20,2000,nvme_std,network_8_balanced,200,20215510810,1747783610,18467727200,0,18467880800,9.46308,0,20.64,bert_checkfreq_like_n20_sz2000MB_nvme_std_200iter_700457d77a,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,20,2000,nvme_std,network_8_balanced,200,27206020800,8738293600,18467727200,0,18467880800,47.31534,0,15.83,bert_sync_n20_sz2000MB_nvme_std_200iter_2aa9fc9e39,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,20,2500,nvme_std,network_8_balanced,200,20652410810,2184683610,18467727200,0,18467880800,11.82881,0,15.09,bert_checkfreq_like_n20_sz2500MB_nvme_std_200iter_3a2ecb1395,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,20,2500,nvme_std,network_8_balanced,200,29390540800,10922813600,18467727200,0,18467880800,59.14409,0,16.21,bert_sync_n20_sz2500MB_nvme_std_200iter_d3b01504db,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,20,3000,nvme_std,network_8_balanced,200,21089320810,2621593610,18467727200,0,18467880800,14.19459,0,18.23,bert_checkfreq_like_n20_sz3000MB_nvme_std_200iter_dd174d3de7,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,20,3000,nvme_std,network_8_balanced,200,31575080800,13107353600,18467727200,0,18467880800,70.97295,0,17.19,bert_sync_n20_sz3000MB_nvme_std_200iter_6b8fb3a215,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,20,3500,nvme_std,network_8_balanced,200,21526230810,3058503610,18467727200,0,18467880800,16.56037,0,15.08,bert_checkfreq_like_n20_sz3500MB_nvme_std_200iter_e38bb1174b,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,20,3500,nvme_std,network_8_balanced,200,33759620800,15291893600,18467727200,0,18467880800,82.80181,0,15.05,bert_sync_n20_sz3500MB_nvme_std_200iter_b5cdf1b087,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,20,4000,nvme_std,network_8_balanced,200,21963130810,3495403610,18467727200,0,18467880800,18.9261,0,14.48,bert_checkfreq_like_n20_sz4000MB_nvme_std_200iter_ee574ed02a,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,20,4000,nvme_std,network_8_balanced,200,35944140800,17476413600,18467727200,0,18467880800,94.63057,0,14.23,bert_sync_n20_sz4000MB_nvme_std_200iter_4986a06853,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,20,4500,nvme_std,network_8_balanced,200,22400040810,3932313610,18467727200,0,18467880800,21.29189,0,20.56,bert_checkfreq_like_n20_sz4500MB_nvme_std_200iter_227c0ce424,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,20,4500,nvme_std,network_8_balanced,200,38128680800,19660953600,18467727200,0,18467880800,106.45943,0,22.21,bert_sync_n20_sz4500MB_nvme_std_200iter_43c1a5ff86,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,checkfreq_like,20,5000,nvme_std,network_8_balanced,200,22836950810,4369223610,18467727200,0,18467880800,23.65767,0,17.78,bert_checkfreq_like_n20_sz5000MB_nvme_std_200iter_6d25bb0f00,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
main,bert,sync,20,5000,nvme_std,network_8_balanced,200,40313220800,21845493600,18467727200,0,18467880800,118.28829,0,17.29,bert_sync_n20_sz5000MB_nvme_std_200iter_8b42dc83ea,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
